source	target
나 같으면 벌떡 일어서서 펄펄 끊는 된장찌개 애새끼 머리에 부어버리고 애미년 얼굴 칼로 난도질 존나 했다	나 같으면 벌떡 일어나서 끓는 된장찌개를 아이의 머리에 붓고, 그 어머니의 얼굴에 흉기로 큰 위해를 가했을 것입니다.
죶나 역겹다 산업폐기물보다 못한새끼들ㄷ오유충등 일베와서 민주화주고가노	정말 역겹습니다. 산업폐기물보다 못한 사람들입니다. 타 커뮤니티 이용자들이 이곳에 와서 비추천을 누르고 가네요.
사회분열과 남녀갈등이 심각한데 정치인이라는 작자가 거기에 숟가락이나 얹으려고 들고..한심하다.	사회 분열과 남녀 갈등이 심각한데 정치인이라는 사람이 거기에 편승하려 하다니 한심합니다.
아니거든요 노짱 염라대왕이시거든요. 하라보지나 따러가세요	그렇지 않습니다. 전 대통령께서 사후 세계의 왕이 되셨습니다. 할아버지나 따라가십시오.
점마 아직 재기 안햇노?	그 사람 아직 극단적인 선택을 하지 않았습니까?
글좀 잘써라	글을 좀 잘 작성하십시오.
이런 씨발 딱 이거랑 똑같은 스토리의 야동이나 망가 야애니 추천받는다 씨발 빨리 고추섯다	정말 이런 내용과 똑같은 스토리의 음란물이나 성인용 만화를 추천받고 싶습니다. 흥분이 되네요.
이 새끼 ㄹㅇ 좆됐네..징역 30년 맞겠네ㅋㅋㅋㅋㅋㅋㅋ	이 사람 정말 큰일 났네요. 징역 30년형을 받을 것 같습니다. ㅋㅋㅋㅋㅋㅋㅋ
돈 많은데 안밝히면 고자로 의심~ 그러므로 빌은 극히 정상 ㅋㅋㅋ	돈이 많은데 밝히지 않으면 신체적 결함이 있는 것으로 의심됩니다. 그러므로 빌은 지극히 정상입니다. ㅋㅋㅋ
산소 아까우니 빨리 뛰어내려라	산소가 아까우니 빨리 극단적인 선택을 하십시오.
됐고 둘다 슈카형한테 좀 배우고 와라 진짜 20 30세대들 한테 어떻게 해야 하는지 정치밥 먹은 인간들보다 일개 유튜버가 더 뛰어나 보이네 ㅋㅋㅋㅋㅋㅋ	됐고 둘 다 특정 유튜버에게 배우고 오십시오. 2030 세대에게 어떻게 해야 하는지 정치인들보다 유튜버가 더 뛰어나 보이네요. ㅋㅋㅋㅋㅋㅋ
고왕릉디시고정닉=야이같잩은엘리트새끼들아!=!	특정 닉네임 사용자여, 같잖은 엘리트 집단들이여!
말 장난 하고 자빠졌네..ㅋㅋㅋㅋ 수준하고는	말장난을 하고 있군요. ㅋㅋㅋㅋ 수준이 참 그렇습니다.
적당히 지 혼자 코르셋조여도 이미지 메이킹 충분히 가능한걸 욕심내서 자꾸 한국여자 걸고 넘어져서 비호감	적당히 혼자서만 엄격한 기준을 적용해도 이미지 관리가 가능할 텐데, 욕심을 부려 자꾸 한국 여성을 언급하며 문제를 삼는 것이 비호감입니다.
