line_id	source	true_label	pred_label	is_correct	confidence	category	tags
87	기도가 뭐 그렇게 대단하다고	2	0	False	0.5208	RELIGION	N/A
89	관음자지들 인생 ㅆㅎㅌㅊ라서 저거 중에 살자밖에 못하노 풉ㅋㅋㅋ	1	2	False	0.7075	GENDER/VIOLENCE/COMMUNITY	N/A
95	저기다가 밤꽃냄세 나는액채를 살며시 발라줘라 그럼 냄세 더욱 ㅅㅌㅊ 될꺼다 이기야	1	2	False	0.6067	GENDER/SLUR/COMMUNITY	N/A
96	진짜 버러지 기생충이다사회암이다인권/복지고 나발이고 저런것들은 삼청교육대에서 정신 개조가 필요하다	1	2	False	0.7393	VIOLENCE/SLUR	N/A
99	대구븅신들	1	2	False	0.9059	REGIONAL/SLUR	N/A
112	가까운 신안으로 보낸다. 세상 그 누구도 찾지못한다	1	2	False	0.8366	REGIONAL/VIOLENCE	N/A
118	아따 제목만봐도 키부니 놈딱 조아지놐ㅋㅋㅋㅋㅋㅋ 담에 또 마주치면 후장에 우산 접었다폈다 하는거 잊지말아라익이	1	2	False	0.5538	VIOLENCE/COMMUNITY	N/A
120	일단 후장은 뚫어라 고분해진다이기	1	2	False	0.5315	LGBTQ/VIOLENCE/COMMUNITY	N/A
130	사전 오프모임은 할 필요도 없고	2	0	False	0.5698	SLUR	N/A
133	맘충 = 진상 거지년이 애낳은 것	1	2	False	0.8653	GENDER/SLUR	N/A
136	개좆같네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ	1	2	False	0.8729	SLUR	N/A
137	단속안하나 이씨발	1	2	False	0.917	SLUR	N/A
140	전라도세끼들은 딱봐도 뭔가 혐오감있게 생김 유전자가 다른 종족인건 확실함	1	2	False	0.6819	REGIONAL/RACISM	N/A
144	예수는 개쓰레기 버러지 애미창렬 허벌 사기꾼이지 예수 그 쓰레기새끼 ㅎㅎ	1	2	False	0.5438	RELIGION	N/A
150	우리가 납치했나왜 가고 싶어 할 사람이 있을 거라는 생각을 하냐가고 싶으면 중국으로 가서 넘어 갈수 있다 이년아아구창 강냉이 다 털리게 패고 싶네	1	2	False	0.4957	VIOLENCE/SLUR	N/A
153	아 진심 보자마자 조팔 육성으로 욕했노 진짜 좆국갈잦들 못생겼지만 이새끼는 그중에서도 ㅆㅆㅎㅌㅊ노 와 후팔 어떻게 저렇게생기노?	1	2	False	0.7847	GENDER/RACISM/COMMUNITY	N/A
156	죶나 역겹다 산업폐기물보다 못한새끼들ㄷ오유충등 일베와서 민주화주고가노	1	2	False	0.6685	COMMUNITY/SLUR	N/A
169	점마 아직 재기 안햇노?	1	2	False	0.7374	GENDER/VIOLENCE/COMMUNITY	N/A
171	글좀 잘써라	2	0	False	0.5004	SLUR	N/A
172	ㅇㅈ 짱구 드래곤볼 심지어지금도 넷플에서 애니보면서 반일하는 절라도는 자살 ㄱ	1	2	False	0.7469	REGIONAL/VIOLENCE	N/A
175	한남충 이새끼들은 그냥 좆질할려고 사는것 같다이기	1	2	False	0.5807	GENDER/COMMUNITY	N/A
176	이런 씨발 딱 이거랑 똑같은 스토리의 야동이나 망가 야애니 추천받는다 씨발 빨리 고추섯다	1	2	False	0.7642	SLUR	N/A
179	대구게이는 일베 글쓰지 마라 IP타고 우한폐렴 전파된다	1	2	False	0.8662	REGIONAL/RACISM/COMMUNITY	N/A
186	꼭 저런거 버리는 년들 보면 뚱뚱한 맘충이더라 돈까스 시켜먹는데 적게나왔다고 따질년들	1	2	False	0.8788	GENDER/SLUR	N/A
188	한남충 피싸개 같이 쓰면 어떻게 되지??한피남싸충개 이렇게 하면 어떻게 될까??	1	2	False	0.5938	GENDER/COMMUNITY	N/A
200	보릉내 진동하겠네;	1	2	False	0.9037	GENDER/SLUR	N/A
201	삼일한 정신이 알라에게도 있었노?	1	2	False	0.661	GENDER/RELIGION/COMMUNITY	N/A
203	이게 왜 차금법이랑 연결이 되는지 이해안되는건 저뿐인가요???	2	0	False	0.5238	SLUR	N/A
209	병신들 많노 자지가 꼴릴때는 편의점가서 박카스 한병 사들고 동네 어슬렁거리면 박카스아줌마가 딱 보고 눈치까고 함 대줌 대신에 박카스 상납해야됨	1	2	False	0.5361	GENDER/AGE/SLUR	N/A
211	미군오빠는 그런말안해 ^좆^ 10분짜리 고기방패남들아 ^좆^	1	2	False	0.6908	GENDER/VIOLENCE	N/A
215	심지어 여성분이 더 나이 많아보여요.	2	0	False	0.6247	AGE	N/A
223	순수한 풀스윙	2	0	False	0.5097	SLUR	N/A
230	다문화걱정하지마 kkk단결성해서 쓸어버리면되	1	2	False	0.8839	RACISM/VIOLENCE	N/A
232	백신개발에 박차를 가하는 좋은 소식이네요 하루속히 코로나의 위협으로 부터 안전해질 그날이 오길 기대합니다 대한민국 홧팅입니다!!!	2	0	False	0.5434	SLUR	N/A
233	필리핀여자랑 결혼하는 남자는 얼마나한국여자에게 인기가 없으면 흑인이랑 결혼하니 한심해 애들 자동 검둥이 ...	1	2	False	0.7353	RACISM/GENDER	N/A
234	그래서 신도시 맘충년들이 유독 진성맘충년들인데 그 중에서도 맘충대장이 동탄맘년들임.	1	2	False	0.816	GENDER/REGIONAL	N/A
236	우린 전라도 있어서 튀기새끼들한테 질 일 없다	1	2	False	0.8375	REGIONAL/RACISM	N/A
239	게이나치 새끼들	1	2	False	0.8125	LGBTQ/POLITICAL	N/A
240	려자가 례쁘게 안 꾸미고 지한테 잘 보일 노력 1도 안하면 국산남은 쥐좆이 쪼그라든다 이기야	1	2	False	0.5133	GENDER/COMMUNITY	N/A
253	혐오스럽게 하던, 보기좋게 하던지간에 동성애자들은 가능한 다 살처분하는게 공익차원에서 바람직한 대안임	1	2	False	0.6331	LGBTQ/VIOLENCE	N/A
254	ㅋㅋㅋㅋㅋㅋㅋ니미 시발 동남아새끼를 왜 비례대표로 꼽아줬는지 이해가안가네 씨발진짜	1	2	False	0.8584	RACISM/SLUR	N/A
260	후팔 시력재기해뿟노 쇼린이사진 내놔라이기	1	2	False	0.7204	COMMUNITY/SLUR/VIOLENCE	N/A
262	김치녀는 능력있는 여자라 좆거지 고추작은 한남 안만난다 이기야	1	2	False	0.6579	GENDER/COMMUNITY	N/A
263	힝. 불쌍해.	2	0	False	0.6055	SLUR	N/A
270	보지 자리에 세월호 리본이 들어가야 진정한 페미니즘 빤스임 큨ㅋ	1	2	False	0.6325	GENDER/SLUR	N/A
271	솔직히 일베 모쏠아다들 워마드년들이 대준다면 보빨할놈들 대부분임 ㅇㅈ?	1	2	False	0.6174	GENDER/COMMUNITY	N/A
272	여자라서 부럽다	2	0	False	0.5882	SLUR	N/A
279	진압당하고 쳐발리면 홍통일체라며 양비론으로 해버리고 날라버림, 졸렬한 홍어새끼들 ㅋㅋ	1	2	False	0.8051	REGIONAL/SLUR	N/A
280	남자가 페미하면 일단 한남이니 선재기 해야하는데....	1	2	False	0.5769	GENDER/VIOLENCE/COMMUNITY	N/A
284	디져서 너 좋아 하는 주님 곁으로 쳐가라	1	2	False	0.5568	RELIGION/VIOLENCE	N/A
285	북딱딱 기분딱!조타다같이 망해보자 이기야!!	1	2	False	0.8068	COMMUNITY/SLUR	N/A
287	자릉내에 비하면 질염냄새는 향기수준이다.	1	2	False	0.4979	GENDER/SLUR	N/A
289	중동새끼들은 냄새 때문에라도 안됨존나 냄새 암내 시발	1	2	False	0.7759	RACISM/SLUR	N/A
291	나 뉴질랜드 사는데	2	0	False	0.5201	SLUR	N/A
292	걍 서로 인정하고 선을 그으면 될 문제를 왜 니들끼리 지적하고 니가잘났니 내가 잘났니 싸우고 있노 내가 한남국자면 이거 보고 3번은 사정했다 이기	1	2	False	0.8126	GENDER/COMMUNITY	N/A
298	ㄴㄴ 걍 경찰들 죄다 보지년들로 바꾸고 치안 좆돼봐야 시발년들이 정신차릴듯	1	2	False	0.5118	GENDER/SLUR	N/A
306	경상도 - ....경기도 - ...강원도! - ...충청도!! 멍청도! - ...?전..ㄹ.. - 젓갈로 만들어버릴까잉	1	2	False	0.6532	REGIONAL	N/A
308	히잡을 쓴 페미니스트의 모습이다	0	2	False	0.5251	NORMAL	N/A
311	국물없노 씨발련아 라면이라도 끓여	1	2	False	0.8638	GENDER/SLUR	N/A
315	현기 준중형급 중형급이네 딱봐도 저정도도 컨트롤이 안되는거보니 스팅어랑 지칠공 제외 솔직히 쉐보레 말리부도 저정도는 커버침	0	2	False	0.7223	NORMAL	N/A
323	전라도에 대중목욕탕 졸라많다	0	2	False	0.6047	REGIONAL	N/A
324	1일에 3천??? 사건터지고 준거아님??? 왜 한꺼번에 몰아줬지??	0	2	False	0.5483	NORMAL	N/A
325	이노오오옴!!!!!!!!!!! 감히 이따구 글에 사진을 이렇게 매치를 하다니!!!!!!! 천벌을,,받을것이야!!!!!!!!!!!!!!!	0	2	False	0.7544	NORMAL	N/A
326	사병 50:50은 말은 없냐?	0	2	False	0.5602	NORMAL	N/A
331	찬수야 정신차려라	0	2	False	0.5354	NORMAL	N/A
334	ㅇㅇ발 ㅇㅇ때문에...  라고 하기엔 지하철 식당 카페 극장 휴양지 학원 술집.. 가는 곳마다 사람많았는데..  이렇게 기사쓰고 사람들 욕하니 속이 후련하시겠습니다. 하지만...	0	2	False	0.7813	NORMAL	N/A
337	개슬람=전라도 반박시 홍어인정	1	2	False	0.8218	RELIGION/REGIONAL	N/A
340	갓럼프보소..	0	2	False	0.872	NORMAL	N/A
341	우와 명문중의 명문이다 ㅋㅋㅋㅋ	0	2	False	0.5987	NORMAL	N/A
344	아가리를 때려 버리고 싶네. 조랄 싫어하는거 티를 내는데 왜케 지저분거리냐?	1	2	False	0.7985	VIOLENCE/SLUR	N/A
348	중딩 말고는 잘 없어요ㅋㅋ 정신승리 계속 하세요ㅎㅎ	0	2	False	0.5985	NORMAL	N/A
349	대구에 메갈퇘지보지가 젤 만ㅎ다는건 정설 아니노	1	2	False	0.6183	REGIONAL/GENDER/SLUR	N/A
350	모부 생일선물도 안사주면서 롤,오버워치에 현질 쳐해대고 명품시계탐내는 된장남은 도살이 답ㅇㅇ	1	2	False	0.6653	GENDER/VIOLENCE	N/A
351	강용석이 말을 저렇게 해서 그렇지사실 어떻게보면 맞는말 아니냐	0	2	False	0.5988	NORMAL	N/A
353	역시나 ㅎㅎ 죽어랏!	1	2	False	0.6354	SLUR/VIOLENCE	N/A
354	명불허전이네 ㅉㅉ	0	2	False	0.7769	SLUR	N/A
355	ㄹㅇ 개좃같은 페미민국 진짜요즘 좌좀 달창 분탕년들 남초에 오지게 풀었더만애국하면서 노예처럼 살아가라고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1	2	False	0.8332	GENDER/COMMUNITY	N/A
356	다 늙은 상폐좆놈들이 어린 쇼린이한테 질투해서 그러는거 아니겠노	1	2	False	0.7488	GENDER/AGE	N/A
359	소수자 차별하지 않는 차별금지법 만들겠다는 인간들이 당론과 안 맞는 의원님의 소수 의견은 왜 존중하지 않고 차별하나?? 진짜 모순적이고 자가당착적이다.	0	2	False	0.8654	SLUR	N/A
363	진짜 저건 너무했다ㅋㅋ	0	2	False	0.5163	NORMAL	N/A
364	착한 자적자 린정하^노^ 한남이 또 지 좆같은 일 저질렀을 게 불보듯 뻔한 일아니노? 영국 남자는 그에 따른 즉각적인 행동을 한 것으로 보이노 한남의 와꾸만 봐도 폭력성이 올라오는 것은 당연한 일 아니노? 그져 영국냄져는 적절한 행동을 했을 뿐이노.	1	2	False	0.7417	GENDER/COMMUNITY	N/A
365	냄져연예인들 보지돈털어가기바쁘노.	1	2	False	0.6867	GENDER/COMMUNITY	N/A
367	이거 날조자료라 욕먹기 딱 좋은 건데	0	2	False	0.8643	NORMAL	N/A
368	폰으로 작게보다가 황세미 폭파원으로 봤네ㄷㄷ	0	2	False	0.5424	NORMAL	N/A
373	고작 10위밖에 안되나?보니까 고위직 여성비율 영향도 있어보이는데이거, 차별이 아니라 남성의존 때문이라는한국의 내부사정을 알아야한다.이거 반영되면 난 1위 찍는다고 본다.	0	2	False	0.6677	SLUR	N/A
374	ㄹㅇㅋㅋㅋㅋㅋㅋ뚱뚱해갖고 뒤뚱거리는 유충보면 속으로 너도 작겠구나라고 생각하는쀼젤	1	2	False	0.5292	GENDER/SLUR	N/A
377	이거 재미있겠다이기 남괘미랍시고 블로그에 글 쓰면서 깝치는 새끼 있는데 신상 털어봐야겠노	1	2	False	0.8391	GENDER/COMMUNITY	N/A
388	근데 나만 그런지 모르겠는데 디씨 히어로들은 정이 안가. 매력이 너무 없음 다 그냥 ㅈㄴ쎄. 아이언맨처럼 어떻게 히어로가 됬는지. 어떤 단점, 트라우마를 끌어안고 있는지 전혀 입체적이지 않음	0	2	False	0.9138	SLUR	N/A
392	판검사 공부한분들은 이런사람위해 잘쓰길... 그 아내랑 동생이 제일악질인듯	0	2	False	0.7437	NORMAL	N/A
393	개만도못한 전라도 시바	1	2	False	0.5639	REGIONAL/SLUR	N/A
395	진지하게여성의존재가치가뭐냐?성욕구해결과출산아니냐?지몸을 화장하고 꾸미는거 자체가 자기 자신의 성적매력을높일려고하는거지	1	2	False	0.8953	GENDER	N/A
396	한남죽이기 힘조!!!	1	2	False	0.5171	GENDER/VIOLENCE/COMMUNITY	N/A
401	이슬람 다른건 몰라도 피싸개들 때려 잡는건 마음에 든다	1	2	False	0.5382	GENDER/VIOLENCE/RELIGION	N/A
402	반대로 일남충이 김치년 강간했으면강간범 일본남자 피해자 한국여자 로 오질나게 국적 부풀려서 반일선동에 써먹을텐데 ㅋㅋㅋㅋㅋㅋ	1	2	False	0.784	GENDER/RACISM	N/A
403	똑같은 성경을 갖고 설교해도 목사가 어떤 가치관을 갖고있냐에 따라 코에 걸면 코걸이 귀에 걸면 귀걸이	0	2	False	0.4947	RELIGION	N/A
407	깜빵에 같힌 모습 졸라 멋지노.	0	2	False	0.941	NORMAL	N/A
408	ㄹㅇ 그거보고 컬쳐쇼크 신안군 경찰보는줄 ㅋㅋㅋㅋ우덜식감싸기ㅋㅋㅋㅋㅋㅋ홍통일체	1	2	False	0.8897	REGIONAL	N/A
412	PC사상 아웃아웃아웃	0	2	False	0.6614	OTHERS	N/A
416	???? 뭔소리를 하는거냐?	0	2	False	0.5149	SLUR	N/A
419	그냥 너네 동네로 가라.누가 잡냐?	0	2	False	0.8349	SLUR	N/A
422	경상도 여자 만나고 싶노...	0	2	False	0.9157	NORMAL	N/A
426	상폐남ㅇㅣ 안죽고 어델 기웃거리노?ㅋ	1	2	False	0.7853	GENDER/AGE/SLUR	N/A
428	아싸~~헬렐레야~~	0	2	False	0.6988	NORMAL	N/A
431	그러네 경북인데 창문열어보니 집안보다 따뜻하노	0	2	False	0.7717	NORMAL	N/A
437	개슬람새끼들 싹다 쓸어버리자	1	2	False	0.6551	RELIGION/VIOLENCE	N/A
441	오메 일베갔노ㄷㄷ근데 댓글에 홍어 새끼들 분위기에 안맞게 다짜고짜 경상도 대구 통구이!!! 이 지랄하는거 보니 어지간히 부들부들 거리나보네 ㅋㅋ	1	2	False	0.8451	REGIONAL/COMMUNITY	N/A
442	이슬람과 무슬림으로 인한 문제점만 보지 마시고 왜 그들이 이슬람을 믿고 사는지 한 번 알아보는 것도 좋을듯 합니다 제 생각엔 분명 뭔가가 있습니다 교회나 성당가고 절에 다니는 사람들처럼 그들에게도 이슬람이 뭔가 의미 있기에 믿겠죠	0	2	False	0.5893	NORMAL	N/A
444	박원순이 기획했다고 보면 마즘...참여연대 정보력	0	2	False	0.5347	NORMAL	N/A
450	닉존나 커여운대 왜그렛냐 안다갑다	0	2	False	0.9477	NORMAL	N/A
453	또 유튜브 규제하려고 시동거네	0	2	False	0.7158	NORMAL	N/A
455	홍어새끼들 물타기 지리노	1	2	False	0.8678	REGIONAL/SLUR	N/A
463	봐라 애들아.	0	2	False	0.4993	NORMAL	N/A
467	의학적지식이 얼마나 있는지 모르겠지만, 선 무당의 말이 이렇게 언론에 타는 게 그리 좋아 보이지 않네요	0	2	False	0.4986	NORMAL	N/A
473	고소 당하고 빨간줄 그어져도 정신슨리 할 수 있으려나?	0	2	False	0.9257	NORMAL	N/A
474	세상에서 젤 찌질한 한남 ㅉㅉ 여성할당제 지랄하면서 실상은 지들이 자지달린걸로 혜택 젤 많이 받노 으엑	1	2	False	0.5753	GENDER/SLUR	N/A
479	아무런 미래도 소득도 없으면서 애새끼를 10명씩 싸지르고유럽에 난민이라는 명목으로 들어가서 강간해서 유럽 정복할 거다 이러는 새끼들을 보고도 좌파 물고 빠는 유럽 병신들	1	2	False	0.739	RACISM/SLUR/VIOLENCE	N/A
481	아 입이 근질근질한데	0	2	False	0.5691	NORMAL	N/A
490	박시장은 어쨌든 죄가 없다고 해라 그게 더불당 입장 이라는거   말안해도 안다	0	2	False	0.7041	NORMAL	N/A
491	요 씨발 짱깨새끼 보소1등국민 한족이란다 개씹짱퀴벌레새끼야짱퀴나 좆족이나 다 똑같은 씹버러지지 뭐가 다르냐은근 짱퀴 빠는거 딱 걸렸노	1	2	False	0.7321	RACISM/SLUR	N/A
496	고자인가보네 ㅋㅋㅋㅋㅋ 아님 좆장애나 좆이 없거나. 진짜 못생기고 도태놈일수록 여혐수치 올라감	1	2	False	0.5642	GENDER/SLUR	N/A
498	자댕이새끼ㅋㅋㅋㅋ그러게 지하철 탔으면 조신하게 다녔어야지 왜 박제당할짓하고 뻘뻘 돌아다니노	1	2	False	0.6776	GENDER/COMMUNITY	N/A
501	종교의 자유늘 지켜주세요. 착한 종교인입니다.개신교보다 순합니다.	0	2	False	0.5156	NORMAL	N/A
504	아픔 씻어주는 축제 좋아하네 더러운 쓰레기장이다 동성애자들은 저주받은 사단의 도구일뿐이다 세상에 태어나지 않는게 조핬을걸 살가치가없는것들	1	2	False	0.6903	LGBTQ/RELIGION/VIOLENCE	N/A
505	쌍도 연쇄살남 기머하노 이기	1	2	False	0.7513	REGIONAL/GENDER/VIOLENCE	N/A
508	야 저거 현대차 포터키 아니냐	0	2	False	0.5996	NORMAL	N/A
509	내 주변에도 목욕탕몰카짤 카톡으로 다돌았는지 전부 그이야기뿐이놐ㅋㅋㅋㅋㅋ자기가 그냥 좆작은 애들만 걸린 건 줄 알았는데 그게 아니었다고 광광하는 련도 있노 이제 내친구련들 한국남자 안먹겠다고 양잦만 먹겠다고 다짐하고 있노	1	2	False	0.7369	GENDER/SLUR	N/A
511	자 이제 5천만원 들인 얼굴을 좀 보여줘봐라	0	2	False	0.5761	NORMAL	N/A
512	역시 자댕이는 자댕이다 이기야	1	2	False	0.5707	GENDER/COMMUNITY	N/A
513	식당도 식당인데 데드풀 친구랑 보러갔는데 옆에서 뽀로로 틀어주던 옆자리 생각난다.....파스슷.....	0	2	False	0.5924	NORMAL	N/A
519	우리 보영이외에는 관심없다	0	2	False	0.5671	NORMAL	N/A
523	봤는데 여자 흑발 존나 예쁨	0	2	False	0.8221	NORMAL	N/A
525	ㄹㅇ 아무리 ㅎㅌㅊ저능흉자라도 부모빚 상속은 안하것다	1	2	False	0.8495	GENDER/SLUR	N/A
526	또 아니면 모... 알고 들어간거 맞죠?... 대박이든 쪽박이든 결과도 스스로 다 가지시면 됩니다...	0	2	False	0.6296	NORMAL	N/A
527	너 부산에서 알바하지 게이새끼야저 사진에 있는 트젠 부산 서면에서 자주 출몰한다;트젠들은 어쩔수 없이 몸 팔아야 된다던데겜방서 봤는데 세이클럽 하구 있더만ㅋㅋ	1	2	False	0.8626	REGIONAL/LGBTQ/SLUR	N/A
528	나 신혼여행 핀란드로 다녀왔는데 존나 좋았는데 인종차별도 없었고 존나 친절하던데;;	0	2	False	0.8296	NORMAL	N/A
531	똥꼬충들..	1	2	False	0.7569	LGBTQ/SLUR	N/A
539	아기방패~~ 베이비 퍼스트(다이)	1	2	False	0.8775	VIOLENCE/SLUR	N/A
545	근데 애가 임신하고 출산하는 동안 할머니는 뭐하다가 그제서야 신고하노	0	2	False	0.7402	SLUR	N/A
547	저분 진심 국가요인이자 북한이 제일 벼르고있는인물이지 싶다 진짜 철통경호 해드려야된다	0	2	False	0.6441	NORMAL	N/A
548	존나 패버리고싶네	1	2	False	0.6917	VIOLENCE/SLUR	N/A
550	겁먹고 빌빌대는꼴이 버러지만도 못하노^느^	1	2	False	0.8251	SLUR/COMMUNITY	N/A
553	와 야애니 그리면 대성하겠다.	0	2	False	0.5076	NORMAL	N/A
557	어쩌라고 니일기장이냐 일베가 탈북자 새끼 여친 따먹은썰 아니면 올리지마라 병신아	1	2	False	0.79	RACISM/SLUR	N/A
562	ㅋㅋㅋㅋㅋ 이래놓고 자기들이 피해자랜다 어휴 진짜 다 쓸어버리고 싶네 개독들 ㅉㅉㅉ	1	2	False	0.8709	RELIGION/VIOLENCE	N/A
563	뭐레 자지맛 한번보여주면 빌빌 기는거지	1	2	False	0.5975	GENDER/SLUR	N/A
565	정육점 갔더니 원산지:한국산 이거떠있겠네	0	2	False	0.5327	NORMAL	N/A
568	저런데 홍보할 돈으로 생계 유지해야하는 거 아니노?ㅋㅋㅋ	0	2	False	0.9298	NORMAL	N/A
575	약자 보호는 커녕 반대로 약자에게 괘씸죄를 붙이는 ㅋㅋ 병신 트위스트 추잡한 벌레종족 한남	1	2	False	0.783	GENDER/SLUR	N/A
576	암튼 화류계 씨발년들은 전라도랑 동급이니깐? 이 아니라 실제로 하프홍어나,전라도 출신들이 많은게 사실. 지방에서 올라와서 금전적인 도움이 필요하니까 결국 ㅂㅈ파는게 가장 빠르지	1	2	False	0.5259	REGIONAL/GENDER/SLUR	N/A
583	기념으로 앱충 자라니를 드리겠습니다. ^느^	1	2	False	0.6725	GENDER/COMMUNITY	N/A
587	좆중에서도 ㅆㅎㅌㅊ좆들이노	1	2	False	0.8531	GENDER/SLUR	N/A
588	무슨 수익률을 1년가지고만 하냐 ㅋㅋㅋㅋ최소 10년은 봐야지	0	2	False	0.6661	NORMAL	N/A
590	죽을려고 일부러 그러는거같은데 치료하지말고 뒈지게 냅둡시다	1	2	False	0.7592	VIOLENCE/SLUR	N/A
591	일관된진술 하나면 유죄확정인데 참고인이 필요하냐 ㄹㅇ ㅋㅋ	0	2	False	0.7489	NORMAL	N/A
597	냅도 하면 안돼?	0	2	False	0.5332	NORMAL	N/A
600	관잦도 할수있다! 정치적 명예자살남!!!^느^ 힘내라 이기야!!	1	2	False	0.6766	GENDER/SLUR/COMMUNITY	N/A
603	그럼ㅋㅋ 절대 안 넣어야지ㅋㅋㅋㅋ	0	2	False	0.5354	NORMAL	N/A
604	애초에 성매매가 좆국에서는 완전불법행위 아니노? 사이트 위법 소지는 좆팔 범죄자지들 신상이 그렇게 소중하더노 알탕연대좆잡이새끼들 느그 정의구현은 소라넷이나 가서 해라. 놈딱 화난다 이기야노	1	2	False	0.7358	GENDER/COMMUNITY/SLUR	N/A
607	그래 우파는 너무 솔직해서 문제고 좌는 반대라 문제지,흥미로운데	0	2	False	0.7645	POLITICAL	N/A
608	애조에 남자둘이 영화보러 가는게 희박한데 저딴 영화를 보러가자고??ㅋㅋㅋ	0	2	False	0.8426	SLUR	N/A
609	다행히도 시간이 약2~3년은 남은 것같다 2~3년내로 언제든지 튈준비 하고 기다리다 미군이 떠날 때 떠나면 된다 미군이 떠나는 때가 2~3년 남았다	0	2	False	0.7272	NORMAL	N/A
610	생각해보니 전문직 종사하는 여성분이 입는 유니폼들 허리라인 딱 붙고 위에 셔츠는 엄청 타이트 교복도 줄여서 나오고 있고 업무볼때 넘나 불편하겠다...	0	2	False	0.6347	NORMAL	N/A
611	신안이면 성골중의 성골아니냐	1	2	False	0.9159	REGIONAL	N/A
612	쌍도새끼들이랑 라도새끼들이랑 싸우면 누가 이기져?	1	2	False	0.8387	REGIONAL/SLUR	N/A
617	말하는거 보니 주차해도 되겠다	0	2	False	0.5031	NORMAL	N/A
620	이씨발새끼가 가만 생각하이 존나 씨발열받노 개새끼가 갔이뭐노 무식한 씨발년이	1	2	False	0.7707	SLUR	N/A
624	이걸 실드라고 치다니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저거 우리편 아님? ㅋㅋㅋㅋㅋㅋ	0	2	False	0.8855	SLUR	N/A
631	좆노잼 씹틀딱새끼들땜에 좆망한 일베 시발	1	2	False	0.8611	AGE/SLUR	N/A
633	이슬람도 평화 기독교도 평화 불교도 평화 맞습니다 다만, 그렇지 않은 기독교인, 이슬람, 불교인도 많은거죠	0	2	False	0.5791	NORMAL	N/A
645	물랑루즈 개꿀	0	2	False	0.7406	NORMAL	N/A
647	어이없군. 뭔 앙금을 남겨? 악의적인 제목 보소	0	2	False	0.8576	NORMAL	N/A
648	강간 좀 하면 어떨노?? 업보인 것을... 김치녀도 버릇좀 뜯어 고치게 도입이 시급한듯...	1	2	False	0.4982	GENDER/VIOLENCE	N/A
649	무조건 대법원 갈것같은데대법원 가서 부정선거 명백하게 못밝히면 질 듯	0	2	False	0.5695	NORMAL	N/A
651	소추라 한남은 정조대도 못찰듯 하노ㅋㅋㅋㅋㅋ	1	2	False	0.6144	GENDER/SLUR	N/A
